osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/253927547,Abbotsford,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.143177,28.068441,
node/12874799928,Abmarie AH,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.336423,28.013337,Abmarie Agricultural Holdings
node/262694488,Activia Park,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.168056,28.188611,
node/262719042,Actonville,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.215000,28.302222,
node/4152078936,Aeroton,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.254146,27.974187,
node/262694516,Aerovaal,suburb,Emfuleni Local Municipality,Gauteng,-26.565000,27.952222,
node/262694557,Airfield,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.171390,28.314079,
node/262719046,Akasia,town,City of Tshwane Metropolitan Municipality,Gauteng,-25.655556,28.096944,
node/262694575,Alan Manor,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.277691,27.992857,
node/262694591,Alberante,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.267778,28.105278,
node/262694600,Albermarle,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.261111,28.155556,
node/262719055,Alberton,town,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.266989,28.122055,
node/262694633,Albertsdal,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.344444,28.108056,
node/262694646,Albertskroon,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.161389,27.975000,
node/262694655,Albertville,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.164722,27.978611,
node/262694677,Aldara Park,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.133056,27.982778,
node/262719072,Alexandra,suburb,City of Johannesburg Metropolitan Municipality,Gauteng,-26.104444,28.098889,Alex
node/262719076,Allen Grove,suburb,City of Ekurhuleni Metropolitan Municipality,Gauteng,-26.082222,28.229722,
