osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/241543345,Acacia Park,suburb,City of Cape Town,Western Cape,-33.891667,18.527500,
node/6205734295,Admiral's Park,neighbourhood,City of Cape Town,Western Cape,-34.149288,18.873046,
node/6205831489,Allan Boesak Village,neighbourhood,City of Cape Town,Western Cape,-34.123336,18.846060,
node/262719077,Alora,suburb,City of Cape Town,Western Cape,-33.939167,18.671389,
node/262719082,Amanda Glen,suburb,City of Cape Town,Western Cape,-33.852778,18.659722,
node/262719099,Amandelrug,suburb,City of Cape Town,Western Cape,-33.923889,18.692778,
node/6205734287,Anchorage Park,neighbourhood,City of Cape Town,Western Cape,-34.148986,18.876908,
node/1568912393,Arauna,suburb,City of Cape Town,Western Cape,-33.869329,18.686500,
node/6205952941,Asanda Village,neighbourhood,City of Cape Town,Western Cape,-34.106466,18.849591,
node/6205952940,Asla Park Industrial,neighbourhood,City of Cape Town,Western Cape,-34.104636,18.853882,
node/101066628,Athlone,suburb,City of Cape Town,Western Cape,-33.966667,18.505000,
node/243179622,Atlantis,town,City of Cape Town,Western Cape,-33.567222,18.500278,
node/13245994413,Atlas Gardens Business Park,suburb,City of Cape Town,Western Cape,-33.815996,18.554648,
node/262719101,Audas Estate,suburb,City of Cape Town,Western Cape,-34.082215,18.844721,
node/52723149,Aurora,suburb,City of Cape Town,Western Cape,-33.830278,18.631944,
node/262719125,Avondale,suburb,City of Cape Town,Western Cape,-33.566385,18.484715,
node/262719126,Bakoven,suburb,City of Cape Town,Western Cape,-33.960000,18.382778,
node/260296702,Bantry Bay,suburb,City of Cape Town,Western Cape,-33.928151,18.378970,Bantrybaai
node/6515180534,Barnet Molokwana Corner,suburb,City of Cape Town,Western Cape,-34.020962,18.671960,
node/6205264755,Bay Park,neighbourhood,City of Cape Town,Western Cape,-34.148214,18.861169,
node/262719144,Beacon Hill,suburb,City of Cape Town,Western Cape,-33.558053,18.504439,
node/262719148,Beaconvale,suburb,City of Cape Town,Western Cape,-33.916513,18.584077,
node/2095399832,Beaulieu,suburb,City of Cape Town,Western Cape,-34.098141,18.857666,
node/242544257,Belgravia,suburb,City of Cape Town,Western Cape,-33.901111,18.650000,
node/262719168,Belhar,suburb,City of Cape Town,Western Cape,-33.944722,18.625833,
node/6206166993,Bell Glen,neighbourhood,City of Cape Town,Western Cape,-34.059060,18.753031,
node/262719240,Bellair,suburb,City of Cape Town,Western Cape,-33.885833,18.662500,
node/262720658,Bellaire,suburb,City of Cape Town,Western Cape,-34.049722,18.822500,
node/262719242,Belle Ombre,suburb,City of Cape Town,Western Cape,-34.012500,18.428889,
node/262719243,Bellville South,suburb,City of Cape Town,Western Cape,-33.916111,18.644444,
node/262719244,Belmont Park,suburb,City of Cape Town,Western Cape,-33.844722,18.733333,
node/262719245,Belthorn,suburb,City of Cape Town,Western Cape,-33.981111,18.515556,
node/116910120,Belthorn Estate,suburb,City of Cape Town,Western Cape,-33.984845,18.515517,
node/9808175007,Bene,neighbourhood,City of Cape Town,Western Cape,-34.077747,18.853446,
node/262719269,Bergvliet,suburb,City of Cape Town,Western Cape,-34.044796,18.452832,
node/391881836,Bethanie,suburb,City of Cape Town,Western Cape,-33.858254,18.658153,
node/6298777408,Beverley Park,neighbourhood,City of Cape Town,Western Cape,-34.016171,18.735179,
node/262719314,Bishop Lavis,suburb,City of Cape Town,Western Cape,-33.948611,18.575833,
